surname,popularity
Di mauro,4 132
Pieri,4 125
Puddu,4 105
Borrelli,4 100
Falco,4 080
Angeli,4 078
Bellucci,4 078
Blasi,4 074
D andrea,4 074
Porta,4 068
Calo,4 066
Scognamiglio,4 052
Lolli,4 049
Vacca,4 043
Frigerio,4 037
Di martino,4 018
Cristina,4 018
Bettini,4 017
Cavallaro,3 998
Foti,3 988
Boscolo,3 986
Giglio,3 973
Bono,3 953
Pugliese,3 952
Pagani,3 945
Gentili,3 944
Bossi,3 931
Sassi,3 911
Bartoli,3 896
Martina,3 892
Paoletti,3 879
Berardino,3 877
Barbato,3 876
Perego,3 876
Grande,3 871
Gianni,3 869
Andreoli,3 865
Vianello,3 858
Del prete,3 856
Zanella,3 854
Tedesco,3 853
Alfieri,3 853
Raimondi,3 852
Federici,3 851
Vecchi,3 846
Sarti,3 838
Dessi,3 837
Simona,3 829
Di bella,3 814
Mazzola,3 805
Vanni,3 798
Tonelli,3 784
Contini,3 774
Graziano,3 761
Righi,3 750
Miceli,3 734
Carletti,3 726
Cozzi,3 715
Man,3 713
Riccio,3 711
Casini,3 711
Di maio,3 708
Nicoletti,3 693
Simoni,3 672
Bertini,3 666
Gualtieri,3 662
Marras,3 658
Abbate,3 633
Elia,3 633
Ricciardi,3 629
Giordani,3 622
De stefano,3 621
Guglielmi,3 620
Nigro,3 620
Graziani,3 618
Romagnoli,3 615
Di carlo,3 611
Belloni,3 610
Coco,3 601
Piva,3 597
Di gregorio,3 595
Bertolini,3 576
Innocenti,3 575
Capone,3 564
Biagi,3 561
Maggio,3 560
Carlucci,3 558
Bonfanti,3 555
Berardi,3 550
Cappelli,3 546
Volpi,3 546
Fedele,3 545
Spano,3 541
De martino,3 536
Ceccarelli,3 536
Puglisi,3 532
Pippi,3 532
Fadda,3 527
Pasini,3 526
Pizzi,3 526
Cioffi,3 522
Franceschi,3 509
Chiesa,3 505
Radaelli,3 503
Forti,3 499
Valli,3 497
Tucci,3 492
Dini,3 486
Perri,3 457
Negro,3 453
Campana,3 453
Valentino,3 450
Floris,3 445
D amato,3 441
Meli,3 432
Manzo,3 429
Cappelletti,3 426
Carnevale,3 426
Ferrario,3 424
Salvatori,3 424
Mora,3 420
Cicci,3 419
Quaranta,3 413
Pandolfi,3 411
Cuomo,3 408
Antonella,3 406
Di giacomo,3 404
Cipriani,3 398
Usai,3 395
Porcu,3 393
Manzi,3 392
Cecchini,3 392
Lupi,3 382
Vaccaro,3 381
Nobile,3 364
Scala,3 355
Alfano,3 349
Fabris,3 346
Palmisano,3 345
Roberti,3 338
Corso,3 337
Carraro,3 336
Quarta,3 328
Grosso,3 318
Durante,3 310
Giuseppe,3 308
Papi,3 303
Colonna,3 299
Bonelli,3 294
Cavaliere,3 292
Cortese,3 283
Grilli,3 281
Marrone,3 280
Abate,3 278
Ippolito,3 277
Pasquali,3 266
Brunelli,3 264
Salvatore,3 259
Lamberti,3 259
Vecchio,3 248
Capelli,3 247
Castaldo,3 244
Speranza,3 240
Lanza,3 239
Morini,3 238
Gigli,3 227
Randazzo,3 225
Drago,3 221
Buono,3 220
Pala,3 216
Fabiani,3 212
Corsini,3 211
Castellano,3 209
Perini,3 201
Cenci,3 194
Pisani,3 192
Tortora,3 192
Savino,3 190
Colli,3 188
Lelli,3 183
Pintus,3 182
Miele,3 180
Lentini,3 176
Massaro,3 169
