name,popularity
Remondo,0
Renzo,1
Ricario,0
Richelmo,0
Rino,0
Roberto,1
Rodiano,0
Rodrigo,0
Rolfo,0
Romeo,1
Romoaldo,0
Romualdo,0
Rubiano,0
Rufo,0
Ruperto,0
Sabato,0
Sabele,0
Saffiro,0
Saladino,0
Salomone,0
Salvatore,1
Samuele,1
Sansone,0
Santo,1
Sarbello,0
Saturnino,0
Saverio,1
Sebastiano,1
Secondo,0
Semplicio,0
Senesio,0
Serafino,1
Sergio,1
Serviliano,0
Settimio,0
Severiano,0
Severo,0
Sicuro,0
Sigfrido,0
Silvano,1
Silvestro,0
Simeone,0
Sinesio,0
Sireno,0
Siricio,0
Sisto,0
Socrate,0
Sostene,0
Sostrato,0
Spartaco,0
Stanislao,0
Stiliano,0
Surano,0
Taddeo,0
Tammaro,0
Tarcisio,1
Taziano,0
Telchide,0
Temistocle,0
Teodoro,0
Teodoto,0
Terenzio,0
Tesauro,0
Tibaldo,0
Tiburzio,0
Timoteo,0
Tito,0
Tizio,0
Tolomeo,0
Torquato,0
Tranquillo,0
Tulliano,0
Turi,0
Tussio,0
Ubertino,0
Ugo,1
Uguccione,0
Ulderico,0
Ulisse,0
Ulrico,0
Ultimo,0
Umile,0
Urbano,0
Uriele,0
Ursino,0
Valente,0
Valeriano,0
Valerio,1
Valfrido,0
Valter,1
Vasco,0
Velio,0
Venceslao,0
Venerio,0
Venustiano,0
Verano,0
Verenzio,0
Vespasiano,0
Vidiano,0
Vilfredo,0
Vincenzo,1
Vinebaldo,0
Vinicio,0
Virginio,1
Viscardo,0
Vitalico,0
Vittore,0
Vittorio,1
Viviano,0
Vodingo,0
Vulmaro,0
Walter,1
Zaccaria,0
Zanobi,0
Zena,0
Zenebio,0
Zenobio,0
Zetico,0
Zosimo,0
Abbondanzio,0
Abdone,0
Abele,0
Abibo,0
Abramo,0
Acario,0
Achille,0
Aciscolo,0
Adalardo,0
Adalfredo,0
Adalrico,0
Addo,0
Adelberto,0
Adelfo,0
Adelmo,0
Adolfo,1
Adriano,1
Afro,0
Agamennone,0
Agazio,0
Agesilao,0
Agrippa,0
Aidano,0
Aladino,0
Alano,0
Albano,0
Alberto,1
Alboino,0
Alceo,0
Alcibiade,0
Alcino,0
Aldobrando,0
Aleardo,0
Alessandro,1
Alfio,1
Alfredo,1
Alighiero,0
Almiro,0
Alvaro,1
Alvise,0
Amadeo,0
Amanzio,0
Amato,0
Amauri,0
Ambrosiano,0
Amelio,0
Amico,0
Amintore,0
Amone,0
Amos,0
Anacleto,0
Angelo,1
Aniello,0
Ansaldo,0
Ansovino,0
Antero,0
Antino,0
Antonello,1
Apollinare,0
Apuleio,0
Araldo,0
Arcadio,0
Archippo,0
Ardito,0
Aresio,0
Argo,0
Ariberto,0
Ariosto,0
Aristarco,0
Aristide,0
Aristo,0
Aristotele,0
Arminio,0
Aronne,0
Arturo,1
Asdrubale,0
Assunto,0
Astianatte,0
Atanasio,0
Attila,0
Attilio,1
Audace,0
Aureliano,0
Auro,0
Averardo,0
Azelio,0
Baldassarre,0
Baldo,0
Baldovino,0
Bardo,0
Barnaba,0
Barsimeo,0
Bartolomeo,1
Basilio,0
Bastiano,0
Beato,0
Beltramo,0
Beniamino,1
Benito,0
Berardo,0
Bernardo,1
Bertoldo,0
Biagio,1
Bindo,0
Birino,0
Bonaldo,0
Bonavita,0
Bonito,0
Bortolo,0
Brando,0
Bruto,0
Caio,0
Callisto,0
Camillo,1
Cantidio,0
Carlo,1
Carmine,1
Carponio,0
Cassiano,0
Casto,0
Catullo,0
